datetime,open,high,low,close,volume
11/1/17 5:00,45.97,46.71,45.59,46.71,47813724
11/2/17 5:00,46.61,47.23,46.213,47.1,44602250
11/3/17 5:00,47.2,47.3,45.6,46.34,39298110
11/6/17 6:00,46.6,46.74,46.09,46.7,34034971
11/7/17 6:00,46.7,47.09,46.39,46.78,24461371
11/8/17 6:00,46.62,46.7,46.28,46.7,21565759
11/9/17 6:00,46.05,46.39,45.65,46.3,25570358
11/10/17 6:00,46.04,46.09,45.38,45.58,24095354
11/13/17 6:00,45.26,45.94,45.25,45.75,18999002
11/14/17 6:00,45.7,45.92,45.32,45.86,22201170
11/15/17 6:00,45.39,45.805,45.1725,45.46,17157204
11/16/17 6:00,45.63,46.07,45.46,45.65,26439406
11/17/17 6:00,45.5,45.62,44.62,44.63,63798040
11/20/17 6:00,44.73,45.115,44.5,44.62,22420003
11/21/17 6:00,44.72,45.22,44.71,44.94,21871027
11/22/17 6:00,44.94,44.95,44.535,44.65,19538331
11/24/17 6:00,44.55,44.775,44.43,44.75,6465815
11/27/17 6:00,44.42,44.61,44.2736,44.49,18202115
11/28/17 6:00,44.65,44.84,44.32,44.73,20194062
11/29/17 6:00,44.85,45.09,43.77,43.95,27036870
11/30/17 6:00,44.36,45.2,44.33,44.84,34145303
12/1/17 6:00,44.73,44.84,43.53,44.68,26656272
12/4/17 6:00,45.02,45.3,44.33,44.49,28000791
12/5/17 6:00,44.6,44.9,43.23,43.44,30626850
12/6/17 6:00,43.14,43.72,42.67,43.45,27710812
12/7/17 6:00,43.46,43.6,42.78,43.08,32708441
12/8/17 6:00,43.35,43.58,43.11,43.35,23154749
12/11/17 6:00,43.28,43.78,43.25,43.66,20425900
12/12/17 6:00,43.47,43.62,43.08,43.33,16557398
12/13/17 6:00,43.65,43.66,43.24,43.34,21399460
12/14/17 6:00,43.43,43.57,43.015,43.26,19644917
12/15/17 6:00,43.4,44.84,43.07,44.56,47476952
12/18/17 6:00,45.15,46.35,45.04,46.26,50369327
12/19/17 6:00,46.3,47.26,45.89,47.04,41421116
12/20/17 6:00,47.47,47.64,46.66,47.56,40934978
12/21/17 6:00,47.54,47.59,46.56,46.76,42963451
12/22/17 6:00,46.33,47.02,46.02,46.7,33913537
12/26/17 6:00,46.28,46.47,45.95,46.08,15533328
12/27/17 6:00,46.11,46.36,46,46.11,13359671
12/28/17 6:00,46.36,46.36,45.95,46.22,9504372
12/29/17 6:00,46.21,46.49,46.09,46.16,17394491
1/2/18 6:00,46.38,46.9,46.21,46.85,23370791
1/3/18 6:00,45.47,46.21,43.65,45.26,116478986
1/4/18 6:00,43.52,44.65,42.69,44.43,89209119
1/5/18 6:00,44.43,45.15,43.9,44.74,41824006
1/8/18 6:00,44.27,44.84,43.96,44.74,33733769
1/9/18 6:00,44.7,44.84,43.49,43.62,44282311
1/10/18 6:00,43.33,43.6,42.44,42.5,45734951
1/11/18 6:00,42.8,43.58,42.45,43.41,35371519
1/12/18 6:00,43.45,43.6,43.01,43.24,29973553
1/16/18 6:00,43.55,43.79,42.885,43.14,38367181
1/17/18 6:00,43.545,44.45,43.51,44.39,32368612
1/18/18 6:00,44.4,44.735,44.17,44.48,26826529
1/19/18 6:00,44.62,44.89,44.25,44.82,25780217
1/22/18 6:00,44.8,45.79,44.79,45.75,27706762
1/23/18 6:00,45.81,46.09,45.63,46.06,22135103
1/24/18 6:00,45.9,46.13,44.96,45.51,32464221
1/25/18 6:00,45.88,46.37,45.17,45.3,36758746
1/26/18 6:00,48.38,50.15,48.12,50.08,86916079
1/29/18 6:00,49.6,50.85,49.37,49.98,46304040
1/30/18 6:00,49.48,50.06,48.74,48.79,32814590
1/31/18 6:00,49.23,49.25,47.56,48.14,41619914
2/1/18 6:00,47.695,48.47,47.45,47.65,28840380
2/2/18 6:00,47.32,47.79,46.1,46.15,28663029
2/5/18 6:00,46.35,47.26,44.5,44.52,47869041
2/6/18 6:00,44.02,44.93,43.0302,44.91,58145381
2/7/18 6:00,44.58,46.3,44.34,45.2,37508414
2/8/18 6:00,45.28,45.42,42.74,42.75,43151330
2/9/18 6:00,43.5,44.28,42.04,43.95,49301141
2/12/18 6:00,44.15,45.16,44.09,44.83,28379521
2/13/18 6:00,44.59,44.775,44.255,44.46,19517609
2/14/18 6:00,44.07,45.51,44.04,45.38,19922010
2/15/18 6:00,45.88,45.99,44.95,45.92,23536793
2/16/18 6:00,45.815,46.59,45.51,45.56,21475207
2/20/18 6:00,45.46,46.71,45.39,46.32,25511962
2/21/18 6:00,46.67,47.06,45.92,45.94,27527487
2/22/18 6:00,46.14,46.56,45.62,45.8,16946353
2/23/18 6:00,46.34,47.79,46.305,47.73,26040911
2/26/18 6:00,48.2,49.13,48.1,49.11,26992306
2/27/18 6:00,49.37,50.9,49.31,49.91,43624077
2/28/18 6:00,50.18,50.34,49.28,49.29,35541183
3/1/18 6:00,49.5,49.715,47.47,47.84,36326639
3/2/18 6:00,47.2,49.05,46.96,48.98,33310592
3/5/18 6:00,48.57,49.795,48.041,49.75,30826521
3/6/18 6:00,50.16,51.33,50.15,50.71,39132300
3/7/18 6:00,50.18,51.485,50.1,51.32,31801943
3/8/18 6:00,51.79,52.08,50.47,50.74,29481157
3/9/18 6:00,51.27,52.3,51,52.19,32727914
3/12/18 5:00,51.86,51.95,50.5,51.52,32044382
3/13/18 5:00,52.52,53.78,51.39,51.78,45573922
3/14/18 5:00,52.06,52.175,51.31,51.86,24993502
3/15/18 5:00,52.23,52.3,50.88,50.88,25631228
3/16/18 5:00,51.17,51.7,50.99,51.17,42559810
3/19/18 5:00,50.74,51.23,49.93,50.83,31115248
3/20/18 5:00,50.88,51.81,50.85,51.55,22214951
3/21/18 5:00,51.55,52.17,51.17,51.56,23239476
3/22/18 5:00,50.74,51.96,50.6,50.83,30915970
3/23/18 5:00,50.59,50.99,49.36,49.36,37683871
3/26/18 5:00,50.74,52.49,50.32,52.48,39306227
3/27/18 5:00,53.01,53.25,50.78,51.19,38777042
3/28/18 5:00,50.5,50.7,49.01,49.6,37970859
3/29/18 5:00,49.98,52.08,49.87,52.08,45265805
4/2/18 5:00,51.69,52.04,47.29,48.92,67187824
4/3/18 5:00,49,49.96,48.41,49.75,39432360
4/4/18 5:00,48.1,50.16,48.01,49.99,30370046
4/5/18 5:00,50.01,50.7199,49.97,50.38,25115351
4/6/18 5:00,49.79,50.4,48.5,48.79,28215164
4/9/18 5:00,49.16,51.11,49.16,49.55,31436989
4/10/18 5:00,51.12,51.49,50.34,51.27,26417762
4/11/18 5:00,50.99,51.73,50.82,51.1,17568432
4/12/18 5:00,51.49,53.2689,51.45,52.72,29781357
4/13/18 5:00,53.06,53.21,51.6,51.86,20884874
4/16/18 5:00,52.29,52.53,51.79,52.4,18855458
4/17/18 5:00,52.91,53.7,52.89,53.54,21228696
4/18/18 5:00,53.52,54.355,53.34,53.61,22164679
4/19/18 5:00,52.95,52.96,51.61,52.22,25422376
4/20/18 5:00,52.17,52.28,50.88,51.53,26910093
4/23/18 5:00,51.689,51.89,50.85,51.1,21706733
4/24/18 5:00,51.87,53.64,51.14,51.45,42494668
4/25/18 5:00,51.86,52.1,50.6,51.38,25752805
4/26/18 5:00,52.26,53.27,52.07,53.05,39575029
4/27/18 5:00,55.44,55.79,52.23,52.73,69888148
4/30/18 5:00,52.56,53.37,51.21,51.62,36417370
5/1/18 5:00,51.64,53.42,51.44,53.33,27600758
5/2/18 5:00,53.09,53.2,52.15,52.31,25778328
5/3/18 5:00,51.89,52.56,51.21,52.28,28560967
5/4/18 5:00,51.62,52.84,51,52.78,25642474
5/7/18 5:00,52.86,53.58,52.83,53.33,20285746
5/8/18 5:00,53.2948,53.63,52.8,53.63,21026793
5/9/18 5:00,53.76,54.37,53.19,54.34,19827532
5/10/18 5:00,54.55,55,54.1,54.98,18715910
5/11/18 5:00,54.62,55.19,54.43,54.67,15405004
5/14/18 5:00,54.77,55.2401,54.74,54.9,21878199
5/15/18 5:00,54.58,54.75,53.56,53.92,21712649
5/16/18 5:00,54.17,54.7,53.955,54.64,16260459
5/17/18 5:00,54.55,55.44,54.42,54.81,16872598
5/18/18 5:00,54.53,54.54,53.47,53.5,23679944
5/21/18 5:00,54.36,55.22,53.86,54.32,25367377
5/22/18 5:00,54.73,55.05,54.05,54.45,19009588
5/23/18 5:00,54,55.23,53.84,55.21,20555425
5/24/18 5:00,55.18,55.3,54.13,54.75,19667095
5/25/18 5:00,54.8,55.5,54.54,55.44,18549989
5/29/18 5:00,55.12,55.81,54.81,55.32,24253509
5/30/18 5:00,55.89,56.2,55.615,55.68,24711519
5/31/18 5:00,55.67,55.86,55.06,55.2,30962105
6/1/18 5:00,55.84,57.1,55.8,57.08,31183166
6/4/18 5:00,57.01,57.5995,56.775,56.83,22538053
6/5/18 5:00,56.9,57.12,56.215,56.53,21687019
6/6/18 5:00,56.53,57.06,56.08,57.03,22955355
6/7/18 5:00,56.92,57,55.62,55.88,27596110
6/8/18 5:00,55.56,55.7,54.66,55.05,30822854
6/11/18 5:00,54.8,55.09,54.26,54.52,25752361
6/12/18 5:00,54.87,55.03,54.22,54.82,23294943
6/13/18 5:00,54.98,55.7,54.91,55.03,22631436
6/14/18 5:00,55.45,55.86,55.18,55.54,23419829
6/15/18 5:00,55.17,55.38,54.58,55.11,39194688
6/18/18 5:00,54.3,54.3,52.34,53.22,40764444
6/19/18 5:00,52.14,52.95,51.88,52.93,31780850
6/20/18 5:00,53.19,53.745,52.69,53.46,21403035
6/21/18 5:00,54.38,54.53,51.94,52.19,44435555
6/22/18 5:00,52.62,53.09,52.3,52.5,34682074
6/25/18 5:00,51.17,51.75,49.91,50.71,45356466
6/26/18 5:00,49.95,50.41,49.36,49.67,37543003
6/27/18 5:00,49.34,50.06,48.75,48.76,33338795
6/28/18 5:00,48.58,49.49,48.5,49.25,29055690
6/29/18 5:00,49.53,50.11,49.5,49.71,28906523
7/2/18 5:00,49.04,50.27,48.83,50.2,23755548
7/3/18 5:00,50.58,50.86,49.43,49.47,16327904
7/5/18 5:00,49.98,50.96,49.75,50.75,26163528
7/6/18 5:00,50.77,51.5,50.4,51.37,19968048
7/9/18 5:00,51.64,51.89,51,51.86,21361609
7/10/18 5:00,52.1,52.26,51.84,52.16,17362901
7/11/18 5:00,51.69,51.87,51.19,51.2,18665554
7/12/18 5:00,52.05,52.48,51.73,52.35,20292712
7/13/18 5:00,52.4,52.42,51.76,52.22,13750255
7/16/18 5:00,52.15,52.32,51.87,52.01,15951549
7/17/18 5:00,51.05,51.8785,51.01,51.75,15754472
7/18/18 5:00,51.87,51.97,51.465,51.72,14649019
7/19/18 5:00,51.6,52.01,51.05,51.98,15954636
7/20/18 5:00,51.83,52.07,51.33,51.91,17387554
7/23/18 5:00,51.77,52.495,51.33,52.31,15945470
7/24/18 5:00,52.76,53.3,52.075,52.18,17788677
7/25/18 5:00,52.21,52.45,51.09,52.43,19892991
7/26/18 5:00,52.45,53.18,51.87,52.16,28282484
7/27/18 5:00,48.76,49.2,47.48,47.68,67816656
7/30/18 5:00,47.63,47.99,46.43,47.69,35696572
7/31/18 5:00,48.24,48.6757,47.69,48.1,36581201
8/1/18 5:00,48.055,48.91,48,48.81,28060679
8/2/18 5:00,48.5,49.52,48.2,49.48,26452493
8/3/18 5:00,49.5,49.78,49.1701,49.63,22008160
8/6/18 5:00,48.77,49.31,48.32,49.3,26669005
8/7/18 5:00,49.43,49.83,49.41,49.7,28322714
8/8/18 5:00,49.6,50.13,49.44,49.96,21997841
8/9/18 5:00,49.86,50.6,49.72,50.14,23795628
8/10/18 5:00,48.51,49.17,48.3,48.85,28712389
8/13/18 5:00,48.92,49.24,48.38,48.45,17070585
8/14/18 5:00,48.67,48.76,47.65,48.12,23061591
8/15/18 5:00,47.78,48,46.9,47.46,26739870
8/16/18 5:00,47.75,47.95,47.05,47.17,24358040
8/17/18 5:00,47,47.39,46.33,47.1,26381992
8/20/18 5:00,47.05,47.12,46.19,46.5,24334042
8/21/18 5:00,46.66,47.85,46.64,47.62,19254336
8/22/18 5:00,47.25,47.35,46.92,47.05,23182485
8/23/18 5:00,46.86,47.17,46.71,46.98,31343206
8/24/18 5:00,47.29,47.89,47.08,47.66,18214708
8/27/18 5:00,48,48.39,47.63,48.35,17170257
8/28/18 5:00,48.55,48.79,48.31,48.57,13472427
8/29/18 5:00,48.7,48.86,48.4,48.75,13479099
8/30/18 5:00,48.52,48.83,48.09,48.24,16418812
8/31/18 5:00,47.96,48.56,47.92,48.43,16483981
9/4/18 5:00,48.38,48.4267,47.5601,47.96,15682894
9/5/18 5:00,47.75,48.12,47.47,47.72,20857150
9/6/18 5:00,47.76,47.96,47.21,47.26,19318129
9/7/18 5:00,46.91,47.48,46.36,46.45,25958345
9/10/18 5:00,46.56,46.76,46.23,46.3,21522362
9/11/18 5:00,46,46.03,44.89,44.93,32455320
9/12/18 5:00,44.56,44.98,44.06,44.93,29778722
9/13/18 5:00,45.68,45.85,45.11,45.57,18657116
9/14/18 5:00,45.78,45.965,45.35,45.54,22998666
9/17/18 5:00,45.29,45.9,45.19,45.42,17603171
9/18/18 5:00,45.58,46.53,45.41,46.1,20528084
9/19/18 5:00,46.09,46.44,45.89,46.15,15918914
9/20/18 5:00,46.78,47.36,46.52,47.2,21999267
9/21/18 5:00,47.12,47.419,46.37,46.66,52650601
9/24/18 5:00,46.31,47,46.15,46.91,17846994
9/25/18 5:00,46.22,46.39,45.8,45.91,23389874
9/26/18 5:00,46.04,46.3,45.58,45.7,23957663
9/27/18 5:00,45.91,46.165,45.73,45.88,15415535
9/28/18 5:00,45.62,47.75,45.46,47.29,46223464
10/1/18 5:00,46.79,47.22,46.2,46.45,23797630
10/2/18 5:00,47.51,48.88,47.32,48.1,42121090
10/3/18 5:00,48.62,49.72,48.56,48.76,39211946
10/4/18 5:00,48.84,48.86,47.62,48.13,30108253
10/5/18 5:00,48.23,48.34,46.66,47.03,28901448
10/8/18 5:00,46.96,47.35,46.52,47.03,19376820
10/9/18 5:00,47.18,47.62,46.54,46.55,23285714
10/10/18 5:00,46.06,46.12,44.8,44.8,43109488
10/11/18 5:00,45.15,45.61,43.73,44.23,43648820
10/12/18 5:00,45.27,45.3429,44.23,44.88,32087385
10/15/18 5:00,44.63,45.14,44.44,44.53,21632953
10/16/18 5:00,44.9,46.01,44.825,45.94,21471984
10/17/18 5:00,46,46.33,45.54,45.89,23124370
10/18/18 5:00,45.65,45.75,44.83,44.97,26638830
10/19/18 5:00,45.02,45.18,43.86,44,28368505
10/22/18 5:00,44.5,45.34,44.1,45.01,34508833
10/23/18 5:00,44.18,45.09,43.91,44.5,38590347
10/24/18 5:00,44.16,44.36,42.36,42.42,33631803
10/25/18 5:00,43.54,44.94,43.28,44.31,48255281
10/26/18 5:00,45.59,46.44,44.7,45.69,67280359
10/29/18 5:00,46.5,46.75,44.44,45.4,35732223
10/30/18 5:00,45.53,47.88,45.46,47.76,43975214
10/31/18 5:00,48.29,48.56,46.83,46.88,33369091
11/1/18 5:00,46.95,48.47,46.86,48.22,28335329
11/2/18 5:00,48.13,48.25,46.75,47.11,30757946
11/5/18 6:00,47.34,48.25,46.92,47.97,23751221
11/6/18 6:00,47.8,47.92,47.03,47.25,23839582
11/7/18 6:00,47.63,48.75,47.59,48.72,29913193
11/8/18 6:00,48.49,49.29,48.46,48.99,26581744
11/9/18 6:00,48.79,49.025,47.87,48.11,21761447
11/12/18 6:00,47.71,47.8,46.6,46.65,24412843
11/13/18 6:00,46.99,48.25,46.99,47.39,29315924
11/14/18 6:00,47.85,47.965,46.89,47.09,25632731
11/15/18 6:00,47.01,48.24,46.72,48.11,29580992
11/16/18 6:00,47.77,49.05,47.69,48.83,31670572
11/19/18 6:00,48.61,49.15,47.78,48,26859030
11/20/18 6:00,47.4,48.12,47.09,47.39,29200847
11/21/18 6:00,47.85,47.88,47.02,47.03,19011435
11/23/18 6:00,46.69,47.07,46.52,46.54,8906879
11/26/18 6:00,47.27,47.46,46.7,47.45,20723037
11/27/18 6:00,46.94,48.22,46.59,48.07,27621025
11/28/18 6:00,47.935,48.88,47.65,48.86,28003222
11/29/18 6:00,48.49,48.56,47.63,47.7,23592512
11/30/18 6:00,47.95,49.32,47.56,49.31,43312603
12/3/18 6:00,50,50.495,49.53,50.13,30866818
12/4/18 6:00,49.52,49.6,47.675,47.75,35397722
12/6/18 6:00,46.8,48.39,46.52,48.37,31661749
12/7/18 6:00,47.94,48.06,46.23,46.24,34016375
12/10/18 6:00,46.28,47.46,46.01,47.21,23289000
12/11/18 6:00,47.9,48.59,47.13,47.38,23850962
12/12/18 6:00,48.58,48.64,47.41,47.83,31305045
12/13/18 6:00,48.26,48.58,47.855,48.29,19525963
12/14/18 6:00,47.89,48.76,47.85,47.86,26372077
12/17/18 6:00,47.86,48.41,46.66,47.08,26598676
12/18/18 6:00,47.47,48.45,47.36,47.74,29014290
12/19/18 6:00,47.49,47.73,45.38,45.57,39717559
12/20/18 6:00,45.41,46.31,45.01,45.54,37750948
12/21/18 6:00,45.75,46.65,44.8,44.84,52767741
12/24/18 6:00,44.63,45.17,43.54,43.59,19241563
12/26/18 6:00,44,46.2,43.51,46.19,28677632
12/27/18 6:00,45.62,46.38,44.67,46.36,29970725
12/28/18 6:00,46.51,47.74,46.3,46.75,24729695
12/31/18 6:00,47.09,47.48,46.55,46.93,20490405